,class,sentence,at,char_grams,content,dep_tree,parse_tree,pos,repliedAt,replyContent,reviewCreatedVersion,reviewId,root,score,tagged_sent,thumbsUpCount,userName
0,,"Really it is a fine painting app , especially for the price ( free ) .",2020-05-26 00:53:18,"['Re', 'ea', 'al', 'll', 'ly', 'yi', 'it', 'ti', 'is', 'sa', 'af', 'fi', 'in', 'ne', 'ep', 'pa', 'ai', 'in', 'nt', 'ti', 'in', 'ng', 'ga', 'ap', 'pp', 'p,', ',e', 'es', 'sp', 'pe', 'ec', 'ci', 'ia', 'al', 'll', 'ly', 'yf', 'fo', 'or', 'rt', 'th', 'he', 'ep', 'pr', 'ri', 'ic', 'ce', 'e(', '(f', 'fr', 're', 'ee', 'e)', ').', 'Rea', 'eal', 'all', 'lly', 'lyi', 'yit', 'iti', 'tis', 'isa', 'saf', 'afi', 'fin', 'ine', 'nep', 'epa', 'pai', 'ain', 'int', 'nti', 'tin', 'ing', 'nga', 'gap', 'app', 'pp,', 'p,e', ',es', 'esp', 'spe', 'pec', 'eci', 'cia', 'ial', 'all', 'lly', 'lyf', 'yfo', 'for', 'ort', 'rth', 'the', 'hep', 'epr', 'pri', 'ric', 'ice', 'ce(', 'e(f', '(fr', 'fre', 'ree', 'ee)', 'e).', 'Real', 'eall', 'ally', 'llyi', 'lyit', 'yiti', 'itis', 'tisa', 'isaf', 'safi', 'afin', 'fine', 'inep', 'nepa', 'epai', 'pain', 'aint', 'inti', 'ntin', 'ting', 'inga', 'ngap', 'gapp', 'app,', 'pp,e', 'p,es', ',esp', 'espe', 'spec', 'peci', 'ecia', 'cial', 'iall', 'ally', 'llyf', 'lyfo', 'yfor', 'fort', 'orth', 'rthe', 'thep', 'hepr', 'epri', 'pric', 'rice', 'ice(', 'ce(f', 'e(fr', '(fre', 'free', 'ree)', 'ee).']","Really it is a fine painting app, especially for the price (free). I have no problem with it. There are no ads that I have dealt with and the colors are fine. However I have been looking for an app like the paint app on Microsoft computers, so I could copy images and paste them here or draw straight lines, and this app does not have these features.","ROOT-VBZ-advmod-RB-nsubj-PRP-attr-NN-punct-,-prep-IN-punct-.",ROOT-FRAG-S-NP-.-NP,"RB-PRP-VBZ-DT-JJ-NN-NN-,-RB-IN-DT-NN-(-JJ-)-.",,,2.4.1,gp:AOqpTOF14r5wqNJk57ZjLiIFfhNLikDYXw6qKaB6cMLZXS1wbzdp8jMHl6jNfSpatU9ipNSYwKCAEhHiUi_Z5A,is,3.0,"[('Really', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('fine', 'JJ'), ('painting', 'NN'), ('app', 'NN'), (',', ','), ('especially', 'RB'), ('for', 'IN'), ('the', 'DT'), ('price', 'NN'), ('(', '('), ('free', 'JJ'), (')', ')'), ('.', '.')]",8.0,Leith Beck
1,,I have no problem with it .,2020-05-26 00:53:18,"['Ih', 'ha', 'av', 've', 'en', 'no', 'op', 'pr', 'ro', 'ob', 'bl', 'le', 'em', 'mw', 'wi', 'it', 'th', 'hi', 'it', 't.', 'Iha', 'hav', 'ave', 'ven', 'eno', 'nop', 'opr', 'pro', 'rob', 'obl', 'ble', 'lem', 'emw', 'mwi', 'wit', 'ith', 'thi', 'hit', 'it.', 'Ihav', 'have', 'aven', 'veno', 'enop', 'nopr', 'opro', 'prob', 'robl', 'oble', 'blem', 'lemw', 'emwi', 'mwit', 'with', 'ithi', 'thit', 'hit.']","Really it is a fine painting app, especially for the price (free). I have no problem with it. There are no ads that I have dealt with and the colors are fine. However I have been looking for an app like the paint app on Microsoft computers, so I could copy images and paste them here or draw straight lines, and this app does not have these features.",ROOT-VBP-nsubj-PRP-dobj-NN-punct-.,ROOT-FRAG-S-FRAG-.-NP,PRP-VBP-DT-NN-IN-PRP-.,,,2.4.1,gp:AOqpTOF14r5wqNJk57ZjLiIFfhNLikDYXw6qKaB6cMLZXS1wbzdp8jMHl6jNfSpatU9ipNSYwKCAEhHiUi_Z5A,have,3.0,"[('I', 'PRP'), ('have', 'VBP'), ('no', 'DT'), ('problem', 'NN'), ('with', 'IN'), ('it', 'PRP'), ('.', '.')]",8.0,Leith Beck
2,,There are no ads that I have dealt with and the colors are fine .,2020-05-26 00:53:18,"['Th', 'he', 'er', 're', 'ea', 'ar', 're', 'en', 'no', 'oa', 'ad', 'ds', 'st', 'th', 'ha', 'at', 'tI', 'Ih', 'ha', 'av', 've', 'ed', 'de', 'ea', 'al', 'lt', 'tw', 'wi', 'it', 'th', 'ha', 'an', 'nd', 'dt', 'th', 'he', 'ec', 'co', 'ol', 'lo', 'or', 'rs', 'sa', 'ar', 're', 'ef', 'fi', 'in', 'ne', 'e.', 'The', 'her', 'ere', 'rea', 'ear', 'are', 'ren', 'eno', 'noa', 'oad', 'ads', 'dst', 'sth', 'tha', 'hat', 'atI', 'tIh', 'Iha', 'hav', 'ave', 'ved', 'ede', 'dea', 'eal', 'alt', 'ltw', 'twi', 'wit', 'ith', 'tha', 'han', 'and', 'ndt', 'dth', 'the', 'hec', 'eco', 'col', 'olo', 'lor', 'ors', 'rsa', 'sar', 'are', 'ref', 'efi', 'fin', 'ine', 'ne.', 'Ther', 'here', 'erea', 'rear', 'eare', 'aren', 'reno', 'enoa', 'noad', 'oads', 'adst', 'dsth', 'stha', 'that', 'hatI', 'atIh', 'tIha', 'Ihav', 'have', 'aved', 'vede', 'edea', 'deal', 'ealt', 'altw', 'ltwi', 'twit', 'with', 'itha', 'than', 'hand', 'andt', 'ndth', 'dthe', 'thec', 'heco', 'ecol', 'colo', 'olor', 'lors', 'orsa', 'rsar', 'sare', 'aref', 'refi', 'efin', 'fine', 'ine.']","Really it is a fine painting app, especially for the price (free). I have no problem with it. There are no ads that I have dealt with and the colors are fine. However I have been looking for an app like the paint app on Microsoft computers, so I could copy images and paste them here or draw straight lines, and this app does not have these features.",ROOT-VBP-expl-EX-attr-NNS-cc-CC-conj-VBP,ROOT-FRAG-S-FRAG-.-NP,EX-VBP-DT-NNS-IN-PRP-VBP-VBN-IN-CC-DT-NNS-VBP-JJ-.,,,2.4.1,gp:AOqpTOF14r5wqNJk57ZjLiIFfhNLikDYXw6qKaB6cMLZXS1wbzdp8jMHl6jNfSpatU9ipNSYwKCAEhHiUi_Z5A,are,3.0,"[('There', 'EX'), ('are', 'VBP'), ('no', 'DT'), ('ads', 'NNS'), ('that', 'IN'), ('I', 'PRP'), ('have', 'VBP'), ('dealt', 'VBN'), ('with', 'IN'), ('and', 'CC'), ('the', 'DT'), ('colors', 'NNS'), ('are', 'VBP'), ('fine', 'JJ'), ('.', '.')]",8.0,Leith Beck
3,,"However I have been looking for an app like the paint app on Microsoft computers , so I could copy images and paste them here or draw straight lines , and this app does not have these features .",2020-05-26 00:53:18,"['Ho', 'ow', 'we', 'ev', 've', 'er', 'rI', 'Ih', 'ha', 'av', 've', 'eb', 'be', 'ee', 'en', 'nl', 'lo', 'oo', 'ok', 'ki', 'in', 'ng', 'gf', 'fo', 'or', 'ra', 'an', 'na', 'ap', 'pp', 'pl', 'li', 'ik', 'ke', 'et', 'th', 'he', 'ep', 'pa', 'ai', 'in', 'nt', 'ta', 'ap', 'pp', 'po', 'on', 'nM', 'Mi', 'ic', 'cr', 'ro', 'os', 'so', 'of', 'ft', 'tc', 'co', 'om', 'mp', 'pu', 'ut', 'te', 'er', 'rs', 's,', ',s', 'so', 'oI', 'Ic', 'co', 'ou', 'ul', 'ld', 'dc', 'co', 'op', 'py', 'yi', 'im', 'ma', 'ag', 'ge', 'es', 'sa', 'an', 'nd', 'dp', 'pa', 'as', 'st', 'te', 'et', 'th', 'he', 'em', 'mh', 'he', 'er', 're', 'eo', 'or', 'rd', 'dr', 'ra', 'aw', 'ws', 'st', 'tr', 'ra', 'ai', 'ig', 'gh', 'ht', 'tl', 'li', 'in', 'ne', 'es', 's,', ',a', 'an', 'nd', 'dt', 'th', 'hi', 'is', 'sa', 'ap', 'pp', 'pd', 'do', 'oe', 'es', 'sn', 'no', 'ot', 'th', 'ha', 'av', 've', 'et', 'th', 'he', 'es', 'se', 'ef', 'fe', 'ea', 'at', 'tu', 'ur', 're', 'es', 's.', 'How', 'owe', 'wev', 'eve', 'ver', 'erI', 'rIh', 'Iha', 'hav', 'ave', 'veb', 'ebe', 'bee', 'een', 'enl', 'nlo', 'loo', 'ook', 'oki', 'kin', 'ing', 'ngf', 'gfo', 'for', 'ora', 'ran', 'ana', 'nap', 'app', 'ppl', 'pli', 'lik', 'ike', 'ket', 'eth', 'the', 'hep', 'epa', 'pai', 'ain', 'int', 'nta', 'tap', 'app', 'ppo', 'pon', 'onM', 'nMi', 'Mic', 'icr', 'cro', 'ros', 'oso', 'sof', 'oft', 'ftc', 'tco', 'com', 'omp', 'mpu', 'put', 'ute', 'ter', 'ers', 'rs,', 's,s', ',so', 'soI', 'oIc', 'Ico', 'cou', 'oul', 'uld', 'ldc', 'dco', 'cop', 'opy', 'pyi', 'yim', 'ima', 'mag', 'age', 'ges', 'esa', 'san', 'and', 'ndp', 'dpa', 'pas', 'ast', 'ste', 'tet', 'eth', 'the', 'hem', 'emh', 'mhe', 'her', 'ere', 'reo', 'eor', 'ord', 'rdr', 'dra', 'raw', 'aws', 'wst', 'str', 'tra', 'rai', 'aig', 'igh', 'ght', 'htl', 'tli', 'lin', 'ine', 'nes', 'es,', 's,a', ',an', 'and', 'ndt', 'dth', 'thi', 'his', 'isa', 'sap', 'app', 'ppd', 'pdo', 'doe', 'oes', 'esn', 'sno', 'not', 'oth', 'tha', 'hav', 'ave', 'vet', 'eth', 'the', 'hes', 'ese', 'sef', 'efe', 'fea', 'eat', 'atu', 'tur', 'ure', 'res', 'es.', 'Howe', 'owev', 'weve', 'ever', 'verI', 'erIh', 'rIha', 'Ihav', 'have', 'aveb', 'vebe', 'ebee', 'been', 'eenl', 'enlo', 'nloo', 'look', 'ooki', 'okin', 'king', 'ingf', 'ngfo', 'gfor', 'fora', 'oran', 'rana', 'anap', 'napp', 'appl', 'ppli', 'plik', 'like', 'iket', 'keth', 'ethe', 'thep', 'hepa', 'epai', 'pain', 'aint', 'inta', 'ntap', 'tapp', 'appo', 'ppon', 'ponM', 'onMi', 'nMic', 'Micr', 'icro', 'cros', 'roso', 'osof', 'soft', 'oftc', 'ftco', 'tcom', 'comp', 'ompu', 'mput', 'pute', 'uter', 'ters', 'ers,', 'rs,s', 's,so', ',soI', 'soIc', 'oIco', 'Icou', 'coul', 'ould', 'uldc', 'ldco', 'dcop', 'copy', 'opyi', 'pyim', 'yima', 'imag', 'mage', 'ages', 'gesa', 'esan', 'sand', 'andp', 'ndpa', 'dpas', 'past', 'aste', 'stet', 'teth', 'ethe', 'them', 'hemh', 'emhe', 'mher', 'here', 'ereo', 'reor', 'eord', 'ordr', 'rdra', 'draw', 'raws', 'awst', 'wstr', 'stra', 'trai', 'raig', 'aigh', 'ight', 'ghtl', 'htli', 'tlin', 'line', 'ines', 'nes,', 'es,a', 's,an', ',and', 'andt', 'ndth', 'dthi', 'this', 'hisa', 'isap', 'sapp', 'appd', 'ppdo', 'pdoe', 'does', 'oesn', 'esno', 'snot', 'noth', 'otha', 'thav', 'have', 'avet', 'veth', 'ethe', 'thes', 'hese', 'esef', 'sefe', 'efea', 'feat', 'eatu', 'atur', 'ture', 'ures', 'res.']","Really it is a fine painting app, especially for the price (free). I have no problem with it. There are no ads that I have dealt with and the colors are fine. However I have been looking for an app like the paint app on Microsoft computers, so I could copy images and paste them here or draw straight lines, and this app does not have these features.","ROOT-VBG-advmod-RB-nsubj-PRP-aux-VBP-aux-VBN-prep-IN-punct-,-cc-IN-conj-VB",ROOT-FRAG-S-FRAG-.-NP,"RB-PRP-VBP-VBN-VBG-IN-DT-NN-IN-DT-NN-NN-IN-NNP-NNS-,-IN-PRP-MD-VB-NNS-CC-VB-PRP-RB-CC-VB-JJ-NNS-,-CC-DT-NN-VBZ-RB-VB-DT-NNS-.",,,2.4.1,gp:AOqpTOF14r5wqNJk57ZjLiIFfhNLikDYXw6qKaB6cMLZXS1wbzdp8jMHl6jNfSpatU9ipNSYwKCAEhHiUi_Z5A,looking,3.0,"[('However', 'RB'), ('I', 'PRP'), ('have', 'VBP'), ('been', 'VBN'), ('looking', 'VBG'), ('for', 'IN'), ('an', 'DT'), ('app', 'NN'), ('like', 'IN'), ('the', 'DT'), ('paint', 'NN'), ('app', 'NN'), ('on', 'IN'), ('Microsoft', 'NNP'), ('computers', 'NNS'), (',', ','), ('so', 'IN'), ('I', 'PRP'), ('could', 'MD'), ('copy', 'VB'), ('images', 'NNS'), ('and', 'CC'), ('paste', 'VB'), ('them', 'PRP'), ('here', 'RB'), ('or', 'CC'), ('draw', 'VB'), ('straight', 'JJ'), ('lines', 'NNS'), (',', ','), ('and', 'CC'), ('this', 'DT'), ('app', 'NN'), ('does', 'VBZ'), ('not', 'RB'), ('have', 'VB'), ('these', 'DT'), ('features', 'NNS'), ('.', '.')]",8.0,Leith Beck
4,,This is a great app .,2020-06-04 05:14:14,"['Th', 'hi', 'is', 'si', 'is', 'sa', 'ag', 'gr', 're', 'ea', 'at', 'ta', 'ap', 'pp', 'p.', 'Thi', 'his', 'isi', 'sis', 'isa', 'sag', 'agr', 'gre', 'rea', 'eat', 'ata', 'tap', 'app', 'pp.', 'This', 'hisi', 'isis', 'sisa', 'isag', 'sagr', 'agre', 'grea', 'reat', 'eata', 'atap', 'tapp', 'app.']","This is a great app. This is basically Photoshop. Now, you may be asking, why am I saying that this is Photoshop? The ability to load photos, layers, a transparent color, the stamp feature, and more, makes this the perfect substitute for Photoshop. I have edited many photos with this. Sure, it may have it's limitations, but it's still great.",ROOT-VBZ-nsubj-DT-attr-NN-punct-.,ROOT-FRAG-S-FRAG-.-NP,DT-VBZ-DT-JJ-NN-.,,,2.4.1,gp:AOqpTOEQbFCeCxIZkPCRGJ4zKr3SIT_Qpp7e8oe8iRhTk1-LjBy_f6hF4R4o2PFUHjEEnvsjVtAQEdKBy53aig,is,4.0,"[('This', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('great', 'JJ'), ('app', 'NN'), ('.', '.')]",1.0,Dylan Bilic
5,,This is basically Photoshop .,2020-06-04 05:14:14,"['Th', 'hi', 'is', 'si', 'is', 'sb', 'ba', 'as', 'si', 'ic', 'ca', 'al', 'll', 'ly', 'yP', 'Ph', 'ho', 'ot', 'to', 'os', 'sh', 'ho', 'op', 'p.', 'Thi', 'his', 'isi', 'sis', 'isb', 'sba', 'bas', 'asi', 'sic', 'ica', 'cal', 'all', 'lly', 'lyP', 'yPh', 'Pho', 'hot', 'oto', 'tos', 'osh', 'sho', 'hop', 'op.', 'This', 'hisi', 'isis', 'sisb', 'isba', 'sbas', 'basi', 'asic', 'sica', 'ical', 'call', 'ally', 'llyP', 'lyPh', 'yPho', 'Phot', 'hoto', 'otos', 'tosh', 'osho', 'shop', 'hop.']","This is a great app. This is basically Photoshop. Now, you may be asking, why am I saying that this is Photoshop? The ability to load photos, layers, a transparent color, the stamp feature, and more, makes this the perfect substitute for Photoshop. I have edited many photos with this. Sure, it may have it's limitations, but it's still great.",ROOT-VBZ-nsubj-DT-advmod-RB-attr-NNP-punct-.,ROOT-FRAG-S-NP-.-NP,DT-VBZ-RB-NNP-.,,,2.4.1,gp:AOqpTOEQbFCeCxIZkPCRGJ4zKr3SIT_Qpp7e8oe8iRhTk1-LjBy_f6hF4R4o2PFUHjEEnvsjVtAQEdKBy53aig,is,4.0,"[('This', 'DT'), ('is', 'VBZ'), ('basically', 'RB'), ('Photoshop', 'NNP'), ('.', '.')]",1.0,Dylan Bilic
6,,"Now , you may be asking , why am I saying that this is Photoshop ?",2020-06-04 05:14:14,"['No', 'ow', 'w,', ',y', 'yo', 'ou', 'um', 'ma', 'ay', 'yb', 'be', 'ea', 'as', 'sk', 'ki', 'in', 'ng', 'g,', ',w', 'wh', 'hy', 'ya', 'am', 'mI', 'Is', 'sa', 'ay', 'yi', 'in', 'ng', 'gt', 'th', 'ha', 'at', 'tt', 'th', 'hi', 'is', 'si', 'is', 'sP', 'Ph', 'ho', 'ot', 'to', 'os', 'sh', 'ho', 'op', 'p?', 'Now', 'ow,', 'w,y', ',yo', 'you', 'oum', 'uma', 'may', 'ayb', 'ybe', 'bea', 'eas', 'ask', 'ski', 'kin', 'ing', 'ng,', 'g,w', ',wh', 'why', 'hya', 'yam', 'amI', 'mIs', 'Isa', 'say', 'ayi', 'yin', 'ing', 'ngt', 'gth', 'tha', 'hat', 'att', 'tth', 'thi', 'his', 'isi', 'sis', 'isP', 'sPh', 'Pho', 'hot', 'oto', 'tos', 'osh', 'sho', 'hop', 'op?', 'Now,', 'ow,y', 'w,yo', ',you', 'youm', 'ouma', 'umay', 'mayb', 'aybe', 'ybea', 'beas', 'eask', 'aski', 'skin', 'king', 'ing,', 'ng,w', 'g,wh', ',why', 'whya', 'hyam', 'yamI', 'amIs', 'mIsa', 'Isay', 'sayi', 'ayin', 'ying', 'ingt', 'ngth', 'gtha', 'that', 'hatt', 'atth', 'tthi', 'this', 'hisi', 'isis', 'sisP', 'isPh', 'sPho', 'Phot', 'hoto', 'otos', 'tosh', 'osho', 'shop', 'hop?']","This is a great app. This is basically Photoshop. Now, you may be asking, why am I saying that this is Photoshop? The ability to load photos, layers, a transparent color, the stamp feature, and more, makes this the perfect substitute for Photoshop. I have edited many photos with this. Sure, it may have it's limitations, but it's still great.","ROOT-VBG-advmod-RB-punct-,-nsubj-PRP-aux-MD-aux-VB-punct-,-ccomp-VBG-punct-.",ROOT-FRAG-NP-FRAG-.-NNS,"RB-,-PRP-MD-VB-VBG-,-WRB-VBP-PRP-VBG-IN-DT-VBZ-NNP-.",,,2.4.1,gp:AOqpTOEQbFCeCxIZkPCRGJ4zKr3SIT_Qpp7e8oe8iRhTk1-LjBy_f6hF4R4o2PFUHjEEnvsjVtAQEdKBy53aig,asking,4.0,"[('Now', 'RB'), (',', ','), ('you', 'PRP'), ('may', 'MD'), ('be', 'VB'), ('asking', 'VBG'), (',', ','), ('why', 'WRB'), ('am', 'VBP'), ('I', 'PRP'), ('saying', 'VBG'), ('that', 'IN'), ('this', 'DT'), ('is', 'VBZ'), ('Photoshop', 'NNP'), ('?', '.')]",1.0,Dylan Bilic
7,,"The ability to load photos , layers , a transparent color , the stamp feature , and more , makes this the perfect substitute for Photoshop .",2020-06-04 05:14:14,"['Th', 'he', 'ea', 'ab', 'bi', 'il', 'li', 'it', 'ty', 'yt', 'to', 'ol', 'lo', 'oa', 'ad', 'dp', 'ph', 'ho', 'ot', 'to', 'os', 's,', ',l', 'la', 'ay', 'ye', 'er', 'rs', 's,', ',a', 'at', 'tr', 'ra', 'an', 'ns', 'sp', 'pa', 'ar', 're', 'en', 'nt', 'tc', 'co', 'ol', 'lo', 'or', 'r,', ',t', 'th', 'he', 'es', 'st', 'ta', 'am', 'mp', 'pf', 'fe', 'ea', 'at', 'tu', 'ur', 're', 'e,', ',a', 'an', 'nd', 'dm', 'mo', 'or', 're', 'e,', ',m', 'ma', 'ak', 'ke', 'es', 'st', 'th', 'hi', 'is', 'st', 'th', 'he', 'ep', 'pe', 'er', 'rf', 'fe', 'ec', 'ct', 'ts', 'su', 'ub', 'bs', 'st', 'ti', 'it', 'tu', 'ut', 'te', 'ef', 'fo', 'or', 'rP', 'Ph', 'ho', 'ot', 'to', 'os', 'sh', 'ho', 'op', 'p.', 'The', 'hea', 'eab', 'abi', 'bil', 'ili', 'lit', 'ity', 'tyt', 'yto', 'tol', 'olo', 'loa', 'oad', 'adp', 'dph', 'pho', 'hot', 'oto', 'tos', 'os,', 's,l', ',la', 'lay', 'aye', 'yer', 'ers', 'rs,', 's,a', ',at', 'atr', 'tra', 'ran', 'ans', 'nsp', 'spa', 'par', 'are', 'ren', 'ent', 'ntc', 'tco', 'col', 'olo', 'lor', 'or,', 'r,t', ',th', 'the', 'hes', 'est', 'sta', 'tam', 'amp', 'mpf', 'pfe', 'fea', 'eat', 'atu', 'tur', 'ure', 're,', 'e,a', ',an', 'and', 'ndm', 'dmo', 'mor', 'ore', 're,', 'e,m', ',ma', 'mak', 'ake', 'kes', 'est', 'sth', 'thi', 'his', 'ist', 'sth', 'the', 'hep', 'epe', 'per', 'erf', 'rfe', 'fec', 'ect', 'cts', 'tsu', 'sub', 'ubs', 'bst', 'sti', 'tit', 'itu', 'tut', 'ute', 'tef', 'efo', 'for', 'orP', 'rPh', 'Pho', 'hot', 'oto', 'tos', 'osh', 'sho', 'hop', 'op.', 'Thea', 'heab', 'eabi', 'abil', 'bili', 'ilit', 'lity', 'ityt', 'tyto', 'ytol', 'tolo', 'oloa', 'load', 'oadp', 'adph', 'dpho', 'phot', 'hoto', 'otos', 'tos,', 'os,l', 's,la', ',lay', 'laye', 'ayer', 'yers', 'ers,', 'rs,a', 's,at', ',atr', 'atra', 'tran', 'rans', 'ansp', 'nspa', 'spar', 'pare', 'aren', 'rent', 'entc', 'ntco', 'tcol', 'colo', 'olor', 'lor,', 'or,t', 'r,th', ',the', 'thes', 'hest', 'esta', 'stam', 'tamp', 'ampf', 'mpfe', 'pfea', 'feat', 'eatu', 'atur', 'ture', 'ure,', 're,a', 'e,an', ',and', 'andm', 'ndmo', 'dmor', 'more', 'ore,', 're,m', 'e,ma', ',mak', 'make', 'akes', 'kest', 'esth', 'sthi', 'this', 'hist', 'isth', 'sthe', 'thep', 'hepe', 'eper', 'perf', 'erfe', 'rfec', 'fect', 'ects', 'ctsu', 'tsub', 'subs', 'ubst', 'bsti', 'stit', 'titu', 'itut', 'tute', 'utef', 'tefo', 'efor', 'forP', 'orPh', 'rPho', 'Phot', 'hoto', 'otos', 'tosh', 'osho', 'shop', 'hop.']","This is a great app. This is basically Photoshop. Now, you may be asking, why am I saying that this is Photoshop? The ability to load photos, layers, a transparent color, the stamp feature, and more, makes this the perfect substitute for Photoshop. I have edited many photos with this. Sure, it may have it's limitations, but it's still great.","ROOT-VBZ-nsubj-NN-punct-,-ccomp-NN-punct-.","ROOT-S-S-,-NP-VP","DT-NN-TO-VB-NNS-,-NNS-,-DT-NN-NN-,-DT-NN-NN-,-CC-JJR-,-VBZ-DT-DT-JJ-NN-IN-NNP-.",,,2.4.1,gp:AOqpTOEQbFCeCxIZkPCRGJ4zKr3SIT_Qpp7e8oe8iRhTk1-LjBy_f6hF4R4o2PFUHjEEnvsjVtAQEdKBy53aig,makes,4.0,"[('The', 'DT'), ('ability', 'NN'), ('to', 'TO'), ('load', 'VB'), ('photos', 'NNS'), (',', ','), ('layers', 'NNS'), (',', ','), ('a', 'DT'), ('transparent', 'NN'), ('color', 'NN'), (',', ','), ('the', 'DT'), ('stamp', 'NN'), ('feature', 'NN'), (',', ','), ('and', 'CC'), ('more', 'JJR'), (',', ','), ('makes', 'VBZ'), ('this', 'DT'), ('the', 'DT'), ('perfect', 'JJ'), ('substitute', 'NN'), ('for', 'IN'), ('Photoshop', 'NNP'), ('.', '.')]",1.0,Dylan Bilic
8,,I have edited many photos with this .,2020-06-04 05:14:14,"['Ih', 'ha', 'av', 've', 'ee', 'ed', 'di', 'it', 'te', 'ed', 'dm', 'ma', 'an', 'ny', 'yp', 'ph', 'ho', 'ot', 'to', 'os', 'sw', 'wi', 'it', 'th', 'ht', 'th', 'hi', 'is', 's.', 'Iha', 'hav', 'ave', 'vee', 'eed', 'edi', 'dit', 'ite', 'ted', 'edm', 'dma', 'man', 'any', 'nyp', 'yph', 'pho', 'hot', 'oto', 'tos', 'osw', 'swi', 'wit', 'ith', 'tht', 'hth', 'thi', 'his', 'is.', 'Ihav', 'have', 'avee', 'veed', 'eedi', 'edit', 'dite', 'ited', 'tedm', 'edma', 'dman', 'many', 'anyp', 'nyph', 'ypho', 'phot', 'hoto', 'otos', 'tosw', 'oswi', 'swit', 'with', 'itht', 'thth', 'hthi', 'this', 'his.']","This is a great app. This is basically Photoshop. Now, you may be asking, why am I saying that this is Photoshop? The ability to load photos, layers, a transparent color, the stamp feature, and more, makes this the perfect substitute for Photoshop. I have edited many photos with this. Sure, it may have it's limitations, but it's still great.",ROOT-VBN-nsubj-PRP-aux-VBP-dobj-NNS-punct-.,ROOT-FRAG-S-FRAG-.-NP,PRP-VBP-VBN-JJ-NNS-IN-DT-.,,,2.4.1,gp:AOqpTOEQbFCeCxIZkPCRGJ4zKr3SIT_Qpp7e8oe8iRhTk1-LjBy_f6hF4R4o2PFUHjEEnvsjVtAQEdKBy53aig,edited,4.0,"[('I', 'PRP'), ('have', 'VBP'), ('edited', 'VBN'), ('many', 'JJ'), ('photos', 'NNS'), ('with', 'IN'), ('this', 'DT'), ('.', '.')]",1.0,Dylan Bilic
9,,"Sure , it may have it 's limitations , but it 's still great .",2020-06-04 05:14:14,"['Su', 'ur', 're', 'e,', ',i', 'it', 'tm', 'ma', 'ay', 'yh', 'ha', 'av', 've', 'ei', 'it', ""t'"", ""'s"", 'sl', 'li', 'im', 'mi', 'it', 'ta', 'at', 'ti', 'io', 'on', 'ns', 's,', ',b', 'bu', 'ut', 'ti', 'it', ""t'"", ""'s"", 'ss', 'st', 'ti', 'il', 'll', 'lg', 'gr', 're', 'ea', 'at', 't.', 'Sur', 'ure', 're,', 'e,i', ',it', 'itm', 'tma', 'may', 'ayh', 'yha', 'hav', 'ave', 'vei', 'eit', ""it'"", ""t's"", ""'sl"", 'sli', 'lim', 'imi', 'mit', 'ita', 'tat', 'ati', 'tio', 'ion', 'ons', 'ns,', 's,b', ',bu', 'but', 'uti', 'tit', ""it'"", ""t's"", ""'ss"", 'sst', 'sti', 'til', 'ill', 'llg', 'lgr', 'gre', 'rea', 'eat', 'at.', 'Sure', 'ure,', 're,i', 'e,it', ',itm', 'itma', 'tmay', 'mayh', 'ayha', 'yhav', 'have', 'avei', 'veit', ""eit'"", ""it's"", ""t'sl"", ""'sli"", 'slim', 'limi', 'imit', 'mita', 'itat', 'tati', 'atio', 'tion', 'ions', 'ons,', 'ns,b', 's,bu', ',but', 'buti', 'utit', ""tit'"", ""it's"", ""t'ss"", ""'sst"", 'ssti', 'stil', 'till', 'illg', 'llgr', 'lgre', 'grea', 'reat', 'eat.']","This is a great app. This is basically Photoshop. Now, you may be asking, why am I saying that this is Photoshop? The ability to load photos, layers, a transparent color, the stamp feature, and more, makes this the perfect substitute for Photoshop. I have edited many photos with this. Sure, it may have it's limitations, but it's still great.","ROOT-VB-intj-UH-punct-,-nsubj-PRP-aux-MD-ccomp-POS-punct-,-cc-CC-conj-VBZ",ROOT-S-NP-VP-.-NNS,"RB-,-PRP-MD-VB-PRP-VBZ-NNS-,-CC-PRP-VBZ-RB-JJ-.",,,2.4.1,gp:AOqpTOEQbFCeCxIZkPCRGJ4zKr3SIT_Qpp7e8oe8iRhTk1-LjBy_f6hF4R4o2PFUHjEEnvsjVtAQEdKBy53aig,have,4.0,"[('Sure', 'RB'), (',', ','), ('it', 'PRP'), ('may', 'MD'), ('have', 'VB'), ('it', 'PRP'), (""'s"", 'VBZ'), ('limitations', 'NNS'), (',', ','), ('but', 'CC'), ('it', 'PRP'), (""'s"", 'VBZ'), ('still', 'RB'), ('great', 'JJ'), ('.', '.')]",1.0,Dylan Bilic
